import time: self [us] | cumulative | imported package
import time:     93988 |     338489 |         aiogram.types.inline_query_result_union
import time:     89309 |      89309 |         aiogram.types.inline_query_results_button
import time:    104425 |     104425 |         aiogram.types.input_checklist
import time:    103842 |     103842 |         aiogram.types.input_checklist_task
import time:    140422 |     140422 |           aiogram.types.input_message_content
import time:    123259 |     263681 |         aiogram.types.input_contact_message_content
import time:     42954 |      42954 |               aiofiles.base
import time:     49954 |      49954 |                 aiofiles.threadpool.utils
import time:     89142 |     139095 |               aiofiles.threadpool.binary
import time:     24422 |      24422 |               aiofiles.threadpool.text
import time:    122033 |     328502 |             aiofiles.threadpool
import time:     92704 |      92704 |               aiofiles.tempfile.temptypes
import time:     92002 |     184706 |             aiofiles.tempfile
import time:    121000 |     634207 |           aiofiles
import time:    128889 |     763096 |         aiogram.types.input_file
import time:     90973 |      90973 |         aiogram.types.input_file_union
import time:     55015 |      55015 |         aiogram.types.input_invoice_message_content
import time:     82645 |      82645 |         aiogram.types.input_location_message_content
import time:     84042 |      84042 |         aiogram.types.input_media
import time:    108600 |     108600 |         aiogram.types.input_media_animation
import time:     73097 |      73097 |         aiogram.types.input_media_audio
import time:     59582 |      59582 |         aiogram.types.input_media_document
import time:     86475 |      86475 |         aiogram.types.input_media_photo
import time:     45079 |      45079 |           aiogram.types.input_media_video
import time:     64524 |     109603 |         aiogram.types.input_media_union
import time:     96367 |      96367 |           aiogram.types.input_text_message_content
import time:     71136 |      71136 |           aiogram.types.input_venue_message_content
import time:     70841 |     238343 |         aiogram.types.input_message_content_union
import time:     69699 |      69699 |         aiogram.types.input_paid_media
import time:     55494 |      55494 |         aiogram.types.input_paid_media_photo
import time:    125799 |     125799 |           aiogram.types.input_paid_media_video
import time:     44826 |     170625 |         aiogram.types.input_paid_media_union
import time:     88565 |      88565 |         aiogram.types.input_poll_option
import time:    110459 |     110459 |         aiogram.types.input_poll_option_union
import time:     77648 |      77648 |         aiogram.types.input_profile_photo
import time:    168181 |     168181 |         aiogram.types.input_profile_photo_animated
import time:     95695 |      95695 |         aiogram.types.input_profile_photo_static
